Build_Date,Build_ID,DOE_Code,DOE_ID,Elongation_Percent,Hatch_mm,Layer_mm,Modulus_GPa,Orientation,Parameter_Label,Peak_Stress_MPa,Percent_Porosity_Contour,Porosity_percent_infill,Power_W,Specimen_Position,Speed_mm_per_s,Total_Porosity_Percent,VED_J_per_mm3,Yield_Strength_MPa
2022-01-06,B12_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,4.960615971942691,0.06,0.03,105.16853782287073,Horizontal,B12,1167.5023805677797,-1.0,0.0121441,100,Baseplate,470,-1.0,118.2033096926714,1070.9642340821665
2022-01-06,B13_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,3.6272048959509724,0.14,0.03,91.90483294046285,Horizontal,B13,1151.256518041237,-1.0,0.380877,360,Baseplate,720,-1.0,119.04761904761905,1100.3835698195876
2022-01-06,B14_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,5.002941002064487,0.03,0.03,100.04768916183913,Horizontal,B14,1107.518276214497,-1.0,0.00653539,245,Baseplate,3280,-1.0,82.99457994579947,1010.3764335103549
2022-01-06,B15_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,4.955719500501946,0.18,0.03,103.98203221218225,Horizontal,B15,1208.5417962476922,-1.0,0.0154847,275,Baseplate,830,-1.0,61.35653726015172,1107.881200956923
2022-01-06,B17_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.13,0.03,-1.0,Horizontal,B17,-1.0,-1.0,3.61963,215,Baseplate,2190,-1.0,25.172696405573124,-1.0
2022-01-06,B18_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,5.998291403936324,0.07,0.03,104.10734759910056,Horizontal,B18,1137.8836145649566,-1.0,0.698673,260,Baseplate,3500,-1.0,35.374149659863946,991.1097043579358
2022-01-06,B19_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,8.396526061624138,0.07,0.03,105.10421415767668,Horizontal,B19,1184.6260112536534,-1.0,0.0127737,225,Baseplate,2650,-1.0,40.43126684636118,1037.2934063236426
2022-01-06,B20_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.18,0.03,-1.0,Horizontal,B20,-1.0,-1.0,4.85098,310,Baseplate,2290,-1.0,25.068736859129874,-1.0
2022-01-06,B21_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,4.9406808737717185,0.03,0.03,105.45538828331068,Horizontal,B21,1169.969927833142,-1.0,0.0079112,170,Baseplate,3000,-1.0,62.96296296296297,1052.1386852629164
2022-01-06,B22_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.18,0.03,-1.0,Horizontal,B22,-1.0,-1.0,5.85374,165,Baseplate,1220,-1.0,25.045537340619312,-1.0
2022-01-06,B23_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,6.206253387403445,0.11,0.03,98.79405597977937,Horizontal,B23,1134.3315538805973,-1.0,0.247512,310,Baseplate,2730,-1.0,34.410034410034406,991.4185419402986
2022-01-06,B24_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.1,0.03,-1.0,Horizontal,B24,-1.0,-1.0,1.09163,145,Baseplate,1600,-1.0,30.208333333333336,-1.0
2022-01-06,B25_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,5.684558537630714,0.06,0.03,108.59988275513317,Horizontal,B25,1198.75784325,-1.0,0.00278593,240,Baseplate,1120,-1.0,119.04761904761905,1101.5930589000002
2022-01-06,B26_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,7.8526312465482775,0.06,0.03,107.83669205427168,Horizontal,B26,1170.6737414218298,-1.0,0.000763298,125,Baseplate,1280,-1.0,54.25347222222223,1020.3372263673698
2022-01-06,B27_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,6.555055275591148,0.08,0.03,100.07110552571481,Horizontal,B27,1123.599674841276,-1.0,0.881669,310,Baseplate,3770,-1.0,34.261715296198055,965.6004582919326
2022-01-06,B28_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.07,0.03,-1.0,Horizontal,B28,-1.0,-1.0,0.0,365,Baseplate,1590,-1.0,109.31416591793949,-1.0
2022-01-06,B29_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.18,0.03,-1.0,Horizontal,B29,-1.0,-1.0,1.31863,365,Baseplate,2350,-1.0,28.76280535855004,-1.0
2022-01-06,B30_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,4.519817437199103,0.05,0.03,100.47111937597805,Horizontal,B30,1159.32372862069,-1.0,0.827539,230,Baseplate,3960,-1.0,38.72053872053873,1019.0918127370692
2022-01-06,B31_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.13,0.03,-1.0,Horizontal,B31,-1.0,-1.0,5.54961,190,Baseplate,410,-1.0,118.82426516572858,-1.0
2022-01-06,B32_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,8.039557246486325,0.07,0.03,101.72724726706187,Horizontal,B32,1175.946609137056,-1.0,0.000524522,200,Baseplate,1830,-1.0,52.04267499349466,1048.6189037055838
2022-01-06,B33_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,3.526108236377981,0.16,0.03,96.43824776451058,Horizontal,B33,1142.0551537121212,-1.0,0.515615,320,Baseplate,640,-1.0,104.16666666666667,1066.7354920454547
2022-01-06,B34_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,8.42499350169874,0.05,0.03,105.57096902728577,Horizontal,B34,1160.1225102515152,-1.0,0.185909,205,Baseplate,3240,-1.0,42.18106995884774,1009.6793290287878
2022-01-06,B35_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,4.782292827844667,0.03,0.03,110.89269900117299,Horizontal,B35,1100.8368306923078,-1.0,0.00340603,155,Baseplate,1440,-1.0,119.59876543209879,1026.7983445641028
2022-01-06,B36_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.15,0.03,-1.0,Horizontal,B36,-1.0,-1.0,3.25576,230,Baseplate,460,-1.0,111.11111111111111,-1.0
2022-01-06,B37_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,3.5655431452399586,0.12,0.03,110.94707864653691,Horizontal,B37,1151.0797490442892,-1.0,0.177918,325,Baseplate,800,-1.0,112.84722222222223,1071.6547705470086
2022-01-06,B38_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,11.520919790072554,0.12,0.03,106.13834511543938,Horizontal,B38,1210.3752898070666,-1.0,0.0140182,260,Baseplate,1660,-1.0,43.507362784471226,1075.7413241851748
2022-01-06,B39_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.16,0.03,-1.0,Horizontal,B39,-1.0,-1.0,4.3901,210,Baseplate,1740,-1.0,25.14367816091954,-1.0
2022-01-06,B40_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.07,0.03,-1.0,Horizontal,B40,-1.0,-1.0,0.0263668,365,Baseplate,2440,-1.0,71.23341139734582,-1.0
2022-01-06,B41_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,8.562931550719002,0.16,0.03,106.72036487147201,Horizontal,B41,1229.3791641624366,-1.0,0.0412962,175,Baseplate,650,-1.0,56.08974358974359,1094.8612910406093
2022-01-06,B42_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.03,0.03,-1.0,Horizontal,B42,-1.0,-1.0,0.00659456,315,Baseplate,3500,-1.0,100.0,-1.0
2022-01-06,B43_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.16,0.03,-1.0,Horizontal,B43,-1.0,-1.0,1.28812,280,Baseplate,2010,-1.0,29.021558872305143,-1.0
2022-01-06,B44_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,4.64475428628941,0.05,0.03,108.24928478800496,Horizontal,B44,1196.8299238557045,-1.0,0.0134249,350,Baseplate,3990,-1.0,58.4795321637427,1061.3542501906347
2022-01-06,B45_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,9.289974861407412,0.03,0.03,110.51205981120319,Horizontal,B45,1163.7794824107543,-1.0,0.00689207,265,Baseplate,3990,-1.0,73.79560011138959,1042.3517137311426
2022-01-06,B46_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.03,0.03,-1.0,Horizontal,B46,-1.0,-1.0,0.0101588,215,Baseplate,2670,-1.0,89.47149396587601,-1.0
2022-01-06,B47_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.04,0.03,-1.0,Horizontal,B47,-1.0,-1.0,4.29295,145,Baseplate,3680,-1.0,32.83514492753623,-1.0
2022-01-06,B48_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,10.865926918593303,0.06,0.03,104.70539773665377,Horizontal,B48,1152.2913998969389,-1.0,0.561042,180,Baseplate,2630,-1.0,38.022813688212935,983.5207602707277
2022-01-06,B49_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,3.3665135197361624,0.09,0.03,102.26506047686918,Horizontal,B49,1147.8967906358976,-1.0,0.0621095,360,Baseplate,3180,-1.0,41.9287211740042,1015.0936889333334
2022-01-06,B50_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,7.673396558991211,0.08,0.03,109.50352057325512,Horizontal,B50,1168.933508527919,-1.0,0.0749761,285,Baseplate,2930,-1.0,40.52901023890785,1021.1884467600212
2022-01-06,B51_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.09,0.03,-1.0,Horizontal,B51,-1.0,-1.0,1.24317,125,Baseplate,400,-1.0,115.74074074074073,-1.0
2022-01-06,B52_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,6.4896171304321335,0.05,0.03,100.57445699263471,Horizontal,B52,1157.5956196477232,-1.0,0.652507,140,Baseplate,2360,-1.0,39.548022598870055,1009.3108656923795
2022-01-06,B53_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,6.053281680355326,0.17,0.03,110.90304778516679,Horizontal,B53,1218.0174214101598,-1.0,0.00181561,235,Baseplate,1150,-1.0,40.068201193520885,1076.5633999932304
2022-01-06,B54_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,5.703705984492116,0.18,0.03,104.82186896699491,Horizontal,B54,1159.8248702304124,-1.0,0.37906,290,Baseplate,1560,-1.0,34.42545109211776,1014.8540557298969
2022-01-06,B55_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,5.593950569025203,0.05,0.03,111.89516007858498,Horizontal,B55,1186.1237740081974,-1.0,0.0,275,Baseplate,1530,-1.0,119.82570806100219,1091.3231277379941
2022-01-06,B56_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.12,0.03,-1.0,Horizontal,B56,-1.0,-1.0,6.01772,170,Baseplate,1880,-1.0,25.11820330969267,-1.0
2022-01-06,B57_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,11.303252044013936,0.07,0.03,102.94085145447973,Horizontal,B57,1166.6173687494231,-1.0,0.086937,155,Baseplate,1960,-1.0,37.65792031098153,999.057485205353
2022-01-06,B58_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,8.449003365170169,0.06,0.03,109.31660438564145,Horizontal,B58,1177.303018948598,-1.0,0.00529047,365,Baseplate,3370,-1.0,60.1714474118035,1033.518104088785
